Initiator,Timestamp,Mentions
223789,1341100972,213163
223789,1341413739,66977
223789,1341445126,2994
223789,1341487746,138464
26375,1341101183,168366
422097,1341101251,8
184615,1341101523,"364376, 364375"
184615,1341275432,"184615, 372240"
184615,1341275917,364376
92153,1341101596,60337
92153,1341184929,"26398, 63931"
92153,1341236769,1988
92153,1341237905,26116
92153,1341412668,"60337, 2050, 49089"
92153,1341418376,"19604, 92173, 60337"
92153,1341424605,"92173, 92159"
92153,1341496492,"4665, 9910, 1276"
92153,1341590664,3604
92153,1341591629,"192747, 2050, 92153"
75083,1341101732,42182
75083,1341170393,13808
75083,1341377525,39564
75083,1341381875,"88, 3998"
75083,1341382092,88
75083,1341383158,349
75083,1341383212,553
75083,1341383404,88
75083,1341383899,"13813, 88"
75083,1341385320,"88, 677"
75083,1341386515,104613
75083,1341386985,553
75083,1341387330,"91840, 3027"
75083,1341387398,"91840, 3027"
75083,1341420743,468
75083,1341421754,24704
75083,1341582811,"88, 64911, 52087"
75083,1341584058,50595
364376,1341101750,184615
364376,1341275774,"184615, 372240"
442071,1341101834,26139
163149,1341101861,2417
163149,1341414631,15
33946,1341101892,2417
10284,1341102030,"33946, 2417"
10284,1341185159,10375
10284,1341333395,"1298, 41792"
10284,1341433204,178180
176481,1341102251,2417
176481,1341203965,115546
176481,1341225930,115546
176481,1341342284,115546
176481,1341346351,115546
176481,1341375109,88
176481,1341379713,13798
176481,1341382542,349
176481,1341384158,42173
176481,1341385586,127478
176481,1341385954,88
176481,1341390716,88
176481,1341398534,124398
176481,1341411766,"349, 465"
176481,1341426778,2417
176481,1341472311,9797
222533,1341102286,38224
380338,1341102458,519
5393,1341102663,"26637, 5393"
5393,1341409581,7414
5393,1341423168,33666
4665,1341102864,92153
4665,1341171710,"26398, 63931"
4665,1341233600,"3998, 43742, 42172"
4665,1341233689,42172
4665,1341233750,27484
4665,1341233831,11991
4665,1341234056,26398
4665,1341266973,176528
4665,1341321749,"88, 5193, 26398"
4665,1341321956,57942
4665,1341322366,5193
4665,1341322579,98204
4665,1341323806,"13808, 502"
4665,1341335831,2050
4665,1341352329,5245
4665,1341381005,1988
4665,1341382382,5137
4665,1341383145,5137
4665,1341384300,110903
4665,1341385553,127478
4665,1341385775,27484
4665,1341385862,81405
4665,1341386009,18792
4665,1341386427,88
4665,1341387675,103451
4665,1341389694,88
4665,1341390204,88
4665,1341390961,88
4665,1341390984,121586
4665,1341392641,"26153, 98204"
4665,1341392845,88
4665,1341393429,49089
4665,1341394934,"5193, 26398"
4665,1341425570,11876
4665,1341430387,62542
4665,1341430612,29806
4665,1341500605,404
4665,1341505566,7383
4665,1341505630,11991
4665,1341509885,2014
4665,1341510209,2014
4665,1341510538,54270
4665,1341510692,13809
4665,1341582372,"1880, 3604"
4665,1341675208,439
4665,1341691418,11876
4665,1341691500,11876
325916,1341103100,325915
325916,1341103328,325915
325915,1341103149,"325916, 325915"
325915,1341104491,"325916, 325915"
50219,1341103424,"4665, 92153"
50219,1341179946,"26398, 63931"
50219,1341180049,4665
50219,1341255884,"4665, 27484"
50219,1341255962,"4665, 11991"
50219,1341256819,"6373, 3994, 3972"
50219,1341262023,13501
50219,1341280865,4665
50219,1341337878,"88, 5193, 26398"
50219,1341338143,"57942, 4665"
50219,1341338575,5193
50219,1341338949,"4665, 13808, 502"
50219,1341339441,"6373, 3994, 3972"
50219,1341340013,"6373, 3994, 3972"
50219,1341347191,4665
50219,1341352567,"4665, 5245"
50219,1341366268,3994
50219,1341374850,3994
50219,1341377845,3994
50219,1341377991,3994
50219,1341378957,4665
50219,1341381198,3994
50219,1341382436,"5137, 4665"
50219,1341382946,"5137, 4665, 275338"
